node_id,longitude,latitude
255015605,-71.5382595,-16.3927999
255015612,-71.5397615,-16.3958857
255015619,-71.5390313,-16.3943077
255015622,-71.5402065,-16.3924879
255015624,-71.5406044,-16.3922555
255015626,-71.5396419,-16.3957895
255025369,-71.5397526,-16.392622
255025373,-71.5394528,-16.3925985
255025391,-71.5365403,-16.3962247
255025392,-71.535904,-16.3944914
255025421,-71.5412538,-16.3934626
255025425,-71.5429306,-16.3935121
255025427,-71.5439532,-16.3934681
257553424,-71.5428461,-16.4023706
257553430,-71.5400942,-16.4056874
257553434,-71.5455556,-16.4126853
257553441,-71.5442525,-16.4221575
257571168,-71.545711,-16.4213098
257689298,-71.5368801,-16.3970863
257689328,-71.5357008,-16.3939332
257689498,-71.5354481,-16.3933344
257689625,-71.5351452,-16.3931231
257689666,-71.537052,-16.3925391
257689748,-71.5363805,-16.3930482
257689749,-71.5365745,-16.3929116
257689988,-71.5420917,-16.3999551
257887190,-71.5360857,-16.3949866
257887385,-71.5364693,-16.3960326
257888214,-71.5407441,-16.3964679
257888216,-71.540668,-16.3966854
257889419,-71.5371696,-16.3927608
257889677,-71.5395689,-16.3920033
258058331,-71.5471994,-16.3973109
258058336,-71.5475237,-16.3971443
258058338,-71.5475569,-16.3972416
259156387,-71.5424577,-16.3997158
259156397,-71.5418442,-16.3990897
259156405,-71.5424806,-16.4006325
259156435,-71.5419226,-16.3994833
259156755,-71.5418079,-16.3983995
259757272,-71.5427535,-16.4024061
260365760,-71.545107,-16.412141
260366211,-71.5514714,-16.4083481
260368188,-71.5456971,-16.4211475
283417881,-71.5472096,-16.40594
283417887,-71.5471882,-16.4060335
283422405,-71.5462255,-16.4042329
283422406,-71.5465436,-16.4048443
283422603,-71.5424846,-16.4043244
283423115,-71.5427896,-16.4047297
283423119,-71.542448,-16.4045818
283423130,-71.542612,-16.4042369
283423449,-71.5472713,-16.4025628
283423451,-71.5429374,-16.4043571
283423807,-71.5474855,-16.4031585
283423882,-71.5478485,-16.40237
283424077,-71.5498646,-16.4000676
283787906,-71.5493073,-16.4037069
283789174,-71.5490933,-16.4024326
283789844,-71.5509265,-16.4026654
283789846,-71.5512262,-16.4025458
283795209,-71.5508085,-16.4015608
283812502,-71.5464353,-16.4003179
283812507,-71.5457276,-16.3979937
283812509,-71.5456859,-16.3978875
283814466,-71.5463845,-16.3996793
286866805,-71.5514614,-16.4028382
286866810,-71.5513499,-16.402882
287889414,-71.5506786,-16.4165786
303567295,-71.5435595,-16.404095
303567317,-71.5434762,-16.4041309
409472812,-71.5381194,-16.4200957
409472813,-71.5404591,-16.4208682
