edge_id,from_node,to_node
200029175,255015605,1284479744
403167399,255015605,1284479766
1276425076,1284479773,255015605
200028847,255015612,1284479835
1270954406,255015612,255015626
370654129,257888216,255015612
408760590,4055452455,255015612
113213187,255015619,7105789187
24009560,255015622,255015619
1270954408,1284479744,255015619
675676450,6327629824,255015622
23552138,255015624,255015622
902912639,255015624,255025369
175588727,6314219626,255015624
403167388,255015626,7105789186
200028848,1284479757,255015626
24286560,255025369,255025373
24286560,11010602478,255025369
1270964365,255025373,5534090493
23552132,2100151396,255025373
354948232,255025391,876656059
23994452,255025391,257689298
23552136,1264289574,255025391
23552137,1264284856,255025392
354948232,255025392,257689328
354948232,257887190,255025392
175588727,255025421,6314219626
175588727,4075488093,255025421
23552147,4075491941,255025421
110822228,5122593494,255025425
405343715,4075491941,255025425
405343715,255025427,255025425
110843401,5186775693,255025427
1029022308,257553424,9487193848
1276430731,259757272,257553424
370654146,1284479741,257553424
110812060,257553430,11012886975
1185165289,257553430,11009127066
419542150,1264359104,257553430
434310884,2085078794,257553430
1185165288,11009127065,257553430
198354872,2084948813,257553434
1185046362,257553434,260365760
110810761,5706313119,257553434
425166823,9410645594,257553434
103800664,257553441,8374968447
103800670,257553441,10904424405
103800664,11007937311,257553441
491223451,257571168,10904424561
557340194,257571168,5375241714
198637981,257571168,2087449451
198637978,260368188,257571168
491223451,10904424545,257571168
23994451,257689298,1264342650
419739135,876656046,257689298
23994451,5380727094,257689298
113213186,257689328,1264309103
354948232,257689328,257689498
534153225,2365980323,257689328
113213184,257689498,531251853
403171364,4055466962,257689498
113213184,10997907541,257689498
113213184,257689625,10885702067
1171478808,1264342868,257689625
113213184,531251853,257689625
113219960,1284563549,257689666
403167402,257689666,257889419
1191468774,257689666,1284479744
403167408,1284479890,257689666
356841216,257689748,4336252344
175549049,1264300204,257689748
356841216,7112683822,257689748
356841216,257689749,1284479890
1171486227,1736356090,257689749
356841216,4336252344,257689749
1029074106,257689988,259156435
1029074106,259156405,257689988
391466729,1252984299,257689988
354948232,257887385,257887190
110829876,1284479824,257887190
23798530,257887385,4110736812
354948232,876656059,257887385
405342780,257888214,3605978251
200025387,257888214,257888216
1270954407,1284479835,257888214
110831198,4055452452,257888216
370654129,4055452451,257888216
200029110,257889419,2100151394
403167410,257889419,1284479802
403167399,1284479766,257889419
458554565,4106794719,257889677
23798829,257889677,4318641453
23798827,4318641455,257889677
538065237,5208918205,258058331
23909563,258058331,8375245721
23909563,8375245722,258058331
23909563,258058336,258058338
23909563,8375245720,258058336
23814028,258058338,1264339650
23909563,258058338,1198280880
23909650,259156387,1284479741
113213194,259156387,259156397
26008336,873867977,259156387
370654129,259156397,1284479803
1276430730,11014188101,259156397
372617473,259156405,4365192692
536991704,2906501256,259156405
1029074106,259156435,11014188101
113213192,259156435,11014188100
370654146,259156755,4365192387
23909626,259156755,11014188100
405342780,3605978252,259156755
536991704,259757272,4208431367
354952028,8298816757,259757272
1029022309,9487193848,259757272
24009992,2084948810,260365760
426617868,260365760,3603796540
557398372,5375734622,260365760
25979656,5967787216,260366211
26282106,260366211,5199090494
109449965,1264364511,260366211
198349078,5199090495,260366211
24010201,260368188,2087449451
110826918,1198315913,260368188
24010201,10904424543,260368188
25979652,283417881,5200794813
26282268,283422406,283417881
110830870,283417887,283417881
110809522,4027122519,283417887
1196822946,5200794813,283417887
110830870,1281950259,283417887
110819120,5225033223,283422405
112873845,4682407649,283422405
1275746487,283422406,283422405
26009318,5195285777,283422405
1275746486,283422406,4544102112
354685069,1264347093,283422603
1275746488,283422603,283423130
25980200,283423119,283422603
110831708,283423115,1252938522
25980200,283423115,1264336928
25980200,283423451,283423115
399149796,1264346964,283423119
25980200,1264336928,283423119
1275746488,283423130,283423451
110817827,1264338787,283423130
27640077,1264312487,283423449
27640077,283423807,283423449
1232808773,283423882,283423449
25980288,1264330837,283423449
1185125702,5203031712,283423451
27640077,5195285779,283423807
559258550,1292294891,283423807
25980282,3725076882,283423807
110809568,3725076882,283423882
110809568,5394450556,283423882
110816350,5375720540,283424077
110816350,5375720539,283424077
198345700,283424077,1253003569
198345700,283795209,283424077
110823142,1252919106,283787906
171693059,283787906,1396135794
474259058,4682407593,283787906
110823142,1396135810,283787906
171693059,4544102112,283787906
25980282,283789174,1396135810
109451364,1264355433,283789174
25980282,1252999279,283789174
171693066,283789844,283789846
598210920,283789844,1396135809
